amount,customer_age_days,device_age_days,prior_success_count,prior_chargeback_count,velocity_1h,velocity_24h,pincode_distance_km,phone_verified,device_trusted,ip_country_match,hour,is_fraud
2971.18,156,119,12,0,4,4,6.92,1,0,1,13,0
1574.57,169,56,15,0,1,4,15.38,1,0,1,22,0
3455.38,99,47,20,0,2,7,40.14,1,1,1,13,0
8291.86,91,186,6,0,4,8,616.41,1,1,1,10,0
1430.6,63,1,24,0,1,1,40.93,1,0,1,10,0
1430.62,122,1,2,0,1,8,7.48,1,1,1,19,0
8771.06,137,133,14,1,2,7,35.92,1,1,1,13,1
3894.94,428,2,9,0,2,8,36.22,0,1,1,19,0
1130.62,288,24,6,0,2,9,1310.09,1,1,1,14,1
3110.57,310,154,10,0,2,6,10.27,1,1,1,6,0
1137.49,80,70,1,0,1,5,38.58,0,1,1,3,1
1134.87,149,62,4,0,2,4,9.0,1,1,1,10,0
2302.99,267,64,24,0,2,6,19.16,1,1,1,9,0
266.86,189,22,2,0,1,6,29.88,1,1,1,0,0
322.17,239,45,7,0,2,6,256.83,1,1,1,0,0
1030.41,63,59,3,0,4,4,40.12,1,1,1,15,0
656.66,184,21,5,0,1,7,7.91,1,1,1,21,0
2475.62,275,95,9,0,3,9,39.18,1,1,1,11,0
729.22,83,23,25,0,2,10,3.62,1,0,1,17,0
440.41,41,4,19,0,3,6,34.4,1,1,1,13,0
7829.46,80,13,2,0,3,8,7.29,0,1,1,5,1
1442.63,360,31,27,0,3,7,1010.34,1,1,1,17,0
1934.35,71,143,21,0,3,6,16.22,0,1,1,7,0
434.96,175,32,1,0,3,5,13.79,1,1,1,9,0
1049.03,40,5,19,0,3,9,58.03,0,1,1,20,0
2020.14,91,13,20,0,3,7,4.98,1,1,1,21,0
571.92,197,47,1,0,2,5,33.84,1,0,1,11,0
2632.52,172,11,3,0,3,7,50.27,1,0,1,0,1
991.64,326,3,20,2,2,5,27.94,0,0,1,5,1
1350.6,224,75,2,0,3,5,5.47,1,0,1,9,0
990.58,83,92,17,2,5,8,389.97,1,1,1,20,1
11525.05,148,114,24,0,3,4,50.2,1,1,1,13,0
1783.8,128,111,6,0,2,7,32.05,1,0,1,14,0
627.84,25,28,13,0,6,9,40.16,1,1,1,22,1
4115.62,435,79,10,0,4,7,20.75,1,1,1,13,0
533.34,177,52,23,0,2,8,16.74,1,1,1,16,0
2228.01,198,1,10,0,3,7,11.16,1,0,1,23,0
254.76,261,30,11,0,4,7,11.84,1,1,1,13,0
479.05,263,3,29,0,1,2,1.94,1,0,1,11,0
2201.43,281,5,19,0,3,4,10.72,1,1,1,13,0
3783.73,133,3,0,0,3,5,94.06,1,1,1,16,0
2146.02,122,194,12,0,2,6,20.84,1,1,1,8,0
1610.58,334,111,6,0,1,7,6.42,0,1,1,10,0
1337.95,441,34,21,0,3,7,8.62,1,1,1,21,0
412.19,40,17,9,0,2,3,24.57,1,1,1,16,0
880.21,327,4,8,0,1,5,23.7,1,0,1,18,0
1140.66,148,33,5,0,2,8,7.01,0,1,1,17,0
5203.68,165,55,6,0,1,5,27.43,1,1,1,8,0
2549.41,16,95,10,0,1,4,14.07,1,1,1,10,0
310.12,175,3,5,0,1,3,3.13,1,1,1,9,0
2500.09,115,32,5,0,4,5,30.58,1,1,1,12,0
1230.18,23,225,1,0,3,6,25.94,1,1,1,22,0
918.81,354,7,3,0,2,5,31.14,1,0,1,21,0
3333.16,197,30,15,0,4,6,1.31,1,1,0,9,1
5069.51,217,19,15,0,4,5,18.34,1,0,1,10,0
4588.37,352,8,0,0,3,5,38.11,0,0,1,1,1
781.16,266,109,3,0,1,1,0.76,1,0,1,9,0
1327.15,61,71,14,0,3,5,17.71,1,1,1,6,0
2518.11,305,31,1,0,3,6,15.3,1,0,1,14,1
4796.04,49,27,4,0,3,8,16.11,1,0,1,20,1
1119.71,254,105,16,0,2,2,1.84,1,0,1,11,0
1501.68,498,5,1,0,2,9,17.74,0,1,1,7,0
598.04,255,9,11,3,1,3,1.46,1,1,1,14,1
546.64,137,142,3,0,4,6,7.88,1,1,1,22,0
4074.59,487,101,10,0,1,1,22.5,1,1,1,13,0
7018.05,196,89,11,0,4,5,22.5,1,0,1,15,0
1682.42,85,58,14,0,3,7,0.18,1,1,0,13,0
4932.16,109,20,1,0,1,2,7.63,1,1,1,13,0
2595.76,106,163,9,0,3,6,21.86,1,1,1,6,0
948.5,556,40,15,0,3,6,13.36,1,1,1,15,0
2595.14,252,19,17,0,3,9,5.42,0,1,1,18,0
8417.23,258,27,2,0,1,4,458.43,1,1,1,16,0
1744.41,232,1,5,0,2,3,99.78,1,1,1,16,0
8644.2,206,17,12,0,2,5,6.73,1,0,1,16,0
131.66,123,12,25,0,3,4,30.96,1,1,1,21,0
4112.98,70,8,9,0,4,10,5.62,1,0,1,19,1
1972.48,219,1,3,0,3,4,11.85,1,0,1,18,0
1340.76,478,15,3,0,1,5,13.88,1,0,1,20,0
1981.8,211,6,3,0,2,4,10.97,1,1,1,22,0
247.75,375,2,5,0,4,10,18.99,0,1,1,16,0
1451.46,39,8,9,0,2,4,1120.84,1,1,1,18,1
2584.05,212,13,17,0,1,2,6.42,1,1,1,11,0
7925.92,118,32,34,0,4,7,51.51,1,0,1,11,0
1076.78,81,52,10,0,2,5,33.68,1,1,1,9,0
805.53,418,23,19,0,1,3,19.59,1,0,0,7,0
1094.71,129,9,5,0,2,6,32.16,1,1,1,23,0
4516.09,252,169,13,0,4,10,41.4,1,0,1,15,0
2511.79,161,43,19,0,3,9,8.05,1,1,1,10,0
1064.48,61,81,6,0,1,4,54.71,1,1,1,17,0
3020.77,275,71,2,0,5,6,13.86,1,0,1,17,0
1992.36,136,20,14,0,4,7,4.26,1,0,1,16,1
4763.06,301,49,8,2,2,7,7.47,1,1,1,9,1
896.01,92,55,14,0,1,3,31.54,1,0,1,14,0
1302.89,119,26,7,0,2,3,6.53,1,1,1,10,0
1221.57,246,66,8,0,4,7,5.65,1,0,1,21,0
418.42,97,93,14,0,3,4,15.8,1,1,1,12,0
2431.15,272,27,27,0,4,7,22.03,1,0,1,19,0
2347.38,32,1,3,0,2,3,16.74,1,1,1,11,0
1817.31,71,25,4,0,4,6,14.79,1,1,1,17,0
1429.98,182,7,10,0,6,8,1.51,1,1,1,13,0
439.06,258,10,18,0,2,3,13.63,1,0,1,13,0
1187.2,188,27,10,0,1,2,31.2,1,1,1,18,0
1283.42,240,13,10,0,2,4,27.91,1,1,1,18,0
810.56,130,163,5,0,2,8,10.53,1,1,1,10,0
1538.73,29,63,5,0,4,5,19.38,1,1,1,14,0
2708.23,142,43,23,0,2,8,5.33,1,0,1,17,0
11922.54,144,1,14,0,1,4,2.33,1,1,1,10,0
2152.91,356,6,1,0,4,4,14.09,1,1,1,1,0
2339.17,268,93,2,0,2,4,26.44,1,0,1,12,0
1678.33,76,29,7,0,2,2,38.66,1,1,1,19,0
265.4,22,2,14,0,2,6,29.84,1,1,1,17,0
1760.73,160,104,0,0,2,5,42.47,1,1,1,10,0
1920.29,117,21,11,0,4,4,20.2,1,0,1,10,0
21231.52,457,29,4,0,2,7,13.12,1,1,1,8,0
1491.65,362,219,18,0,5,7,6.21,1,1,1,10,0
2444.38,61,1,4,0,3,7,32.12,1,1,1,19,0
1746.36,263,76,6,0,1,4,17.87,1,1,1,8,0
561.9,238,178,26,0,5,6,52.75,0,0,1,11,0
5669.31,232,3,7,0,4,5,0.63,1,1,1,11,0
3835.03,725,120,18,0,1,5,3.85,1,1,1,12,0
3987.95,164,32,11,0,1,3,10.76,1,1,1,8,0
